timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1757976306681,110,HTTP Request,200,OK,Saucedemo_QA 1-31,text,true,,3980,234,50,50,https://www.saucedemo.com/,60,0,0
1757976306681,60,HTTP Request-0,301,Moved Permanently,Saucedemo_QA 1-31,text,true,,659,115,50,50,http://saucedemo.com/,60,0,0
1757976306741,50,HTTP Request-1,200,OK,Saucedemo_QA 1-31,text,true,,3321,119,50,50,https://www.saucedemo.com/,49,0,0
1757976306690,101,HTTP Request,200,OK,Saucedemo_QA 1-26,text,true,,3980,234,50,50,https://www.saucedemo.com/,52,0,0
1757976306690,52,HTTP Request-0,301,Moved Permanently,Saucedemo_QA 1-26,text,true,,658,115,50,50,http://saucedemo.com/,52,0,0
1757976306742,49,HTTP Request-1,200,OK,Saucedemo_QA 1-26,text,true,,3322,119,50,50,https://www.saucedemo.com/,48,0,0
1757976306689,104,HTTP Request,200,OK,Saucedemo_QA 1-2,text,true,,3979,234,50,50,https://www.saucedemo.com/,51,0,0
1757976306689,51,HTTP Request-0,301,Moved Permanently,Saucedemo_QA 1-2,text,true,,658,115,50,50,http://saucedemo.com/,51,0,0
1757976306740,53,HTTP Request-1,200,OK,Saucedemo_QA 1-2,text,true,,3321,119,50,50,https://www.saucedemo.com/,50,0,0
1757976306695,100,HTTP Request,200,OK,Saucedemo_QA 1-3,text,true,,3979,234,50,50,https://www.saucedemo.com/,51,0,0
1757976306695,51,HTTP Request-0,301,Moved Permanently,Saucedemo_QA 1-3,text,true,,658,115,50,50,http://saucedemo.com/,51,0,0
1757976306746,49,HTTP Request-1,200,OK,Saucedemo_QA 1-3,text,true,,3321,119,50,50,https://www.saucedemo.com/,47,0,0
1757976306701,95,HTTP Request,200,OK,Saucedemo_QA 1-14,text,true,,3979,234,50,50,https://www.saucedemo.com/,47,0,0
1757976306701,47,HTTP Request-0,301,Moved Permanently,Saucedemo_QA 1-14,text,true,,658,115,50,50,http://saucedemo.com/,47,0,0
